Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,9-Apr-15,2641.4,2659,2687.45,2635.15,2662.6,2664.55,2658.35,1272225,3382017715,62583,902143,70.91
TCS,EQ,10-Apr-15,2664.55,2648.5,2670.8,2628,2651.1,2653.75,2648.39,907772,2404135143,63471,625228,68.88
TCS,EQ,13-Apr-15,2653.75,2664,2665,2628,2653.85,2655.5,2650.09,654321,1734011442,54293,451036,68.93
TCS,EQ,15-Apr-15,2655.5,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,1456967,3855513025,74856,927588,63.67
TCS,EQ,16-Apr-15,2627.75,2626.95,2627,2571.35,2574,2582.8,2589.79,1608785,4166416079,71768,1002627,62.32
TCS,EQ,17-Apr-15,2582.8,2557.1,2560,2470,2473.9,2474.85,2495.54,4834371,12064349823,167402,2989132,61.83
TCS,EQ,20-Apr-15,2474.85,2480.05,2483.9,2424.85,2426,2428.8,2439.46,1445361,3525902674,84591,916671,63.42
TCS,EQ,21-Apr-15,2428.8,2428.8,2452,2401,2427.05,2427.05,2430.81,1273016,3094465305,83843,816116,64.11
TCS,EQ,22-Apr-15,2427.05,2431.5,2473,2407.55,2470.6,2445.1,2428.26,2093406,5083342117,101821,1643446,78.51
TCS,EQ,23-Apr-15,2445.1,2472,2479.8,2431.7,2455,2457.25,2460.81,2171495,5343637554,80541,1743765,80.3
TCS,EQ,24-Apr-15,2457.25,2455.3,2514,2447.55,2509.6,2493.05,2488.25,1812579,4510146388,130453,1306431,72.08
TCS,EQ,27-Apr-15,2493.05,2499.5,2520,2486,2500,2500.2,2501.44,1366526,3418280028,81966,986807,72.21
TCS,EQ,28-Apr-15,2500.2,2510,2510,2455.1,2493,2495,2477.16,1544149,3825105916,128979,1197833,77.57
TCS,EQ,29-Apr-15,2495,2484,2495,2451.05,2481,2487.3,2472.31,1009810,2496559485,100184,626278,62.02
TCS,EQ,30-Apr-15,2487.3,2480,2490,2427.1,2476,2463.7,2461.06,1869027,4599778449,101021,1353129,72.4
TCS,EQ,4-May-15,2463.7,2491,2504.8,2457.2,2482.25,2481.55,2476.14,945315,2340736972,83359,655734,69.37
TCS,EQ,5-May-15,2481.55,2501,2536.45,2500,2519,2517.85,2518.94,1627535,4099661485,69702,1015019,62.37
TCS,EQ,6-May-15,2517.85,2515,2515,2455.8,2463,2463.05,2468.46,1697203,4189477162,97392,1156742,68.16
TCS,EQ,7-May-15,2463.05,2464.9,2553.75,2453.7,2550,2545.25,2522.63,1602514,4042557510,63417,1086092,67.77
TCS,EQ,8-May-15,2545.25,2560,2588,2516.3,2530,2527.25,2552.07,1501832,3832785395,53709,1023782,68.17
TCS,EQ,11-May-15,2527.25,2535,2563.05,2525,2559,2556,2550.07,1286541,3280765489,73023,931788,72.43
TCS,EQ,12-May-15,2556,2560,2565,2513,2523.95,2522.9,2524.91,1233693,3114957843,71964,949366,76.95
